From, To, Tempo, Qtde, Kind, Lat, Lon
n302,n242,420,0,32,-49.262099899999996,-25.434320550000002
n130,n176,420,0,32,-49.262059050000005,-25.43765345
n331,n130,420,0,43,-49.2632397,-25.437231099999998
n114,n676,420,0,32,-49.26486597935,-25.4352660626
n315,n250,420,0,32,-49.2709449,-25.43766265
n115,n241,420,0,32,-49.26830755,-25.43662305
n46,n66,420,0,32,-49.2741835,-25.43893245
n202,n376,420,0,42,-49.2610069,-25.43776045
n155,n45,420,0,63,-49.27472815,-25.43642035
n369,n475,420,0,63,-49.27106715,-25.43573775
n527,n675,420,0,32,-49.26479791665,-25.4353803893
n355,n203,420,0,43,-49.262635700000004,-25.43840755
n387,n40,420,0,42,-49.25898115,-25.4347438
n312,n251,420,0,32,-49.2710055,-25.437824
n501,n502,420,0,62,-49.263091200000005,-25.4314012
n2,n240,420,0,32,-49.2681374,-25.4366855
n316,n325,420,0,43,-49.27332065,-25.439419299999997
n173,n144,420,0,31,-49.2603067,-25.43730715
n117,n243,420,0,32,-49.262203400000004,-25.4342398
n41,n42,420,0,32,-49.26078885,-25.43456415
n362,n332,420,0,32,-49.27038665,-25.4407454
n357,n350,420,0,32,-49.2690171,-25.441204149999997
n358,n231,420,0,32,-49.2672931,-25.43960945
n386,n305,420,0,40,-49.258763450000004,-25.4306866
n360,n361,420,0,43,-49.27198785,-25.44232955
n312,n324,420,0,32,-49.27033795,-25.4382501
n316,n317,420,0,32,-49.2741274,-25.43905165
n29,n111,420,0,32,-49.2580598,-25.43259235
n356,n357,420,0,31,-49.27032125,-25.4408916
n218,n341,420,0,31,-49.2658995,-25.439215500000003
n45,n196,420,0,63,-49.27389805,-25.4368732
n285,n116,420,0,41,-49.26266955,-25.4352811
n31,n114,420,0,43,-49.2647137,-25.434203500000002
n7,n8,420,0,31,-49.2601306745,-25.437189156549998
n344,n326,420,0,32,-49.2729121,-25.441711599999998
n347,n360,420,0,31,-49.27283585,-25.441874
n382,n102,420,0,61,-49.270205250000004,-25.434586799999998
n139,n306,420,0,62,-49.26234345,-25.43109665
n262,n369,420,0,61,-49.271714450000005,-25.435189700000002
n29,n516,420,0,32,-49.2580186,-25.43267055
n516,n119,420,0,32,-49.258767500000005,-25.433020900000002
n287,n120,420,0,31,-49.2606324,-25.43449695
n366,n356,420,0,42,-49.270974550000005,-25.441929899999998
n199,n38,420,0,61,-49.26205245,-25.43133415
n362,n338,420,0,42,-49.2716546,-25.44045045
n138,n31,420,0,63,-49.2654383,-25.43270875
n331,n128,420,0,44,-49.2629397,-25.43626615
n358,n330,420,0,31,-49.2679998,-25.43907
n81,n308,420,0,61,-49.264193,-25.431840700000002
n304,n294,420,0,51,-49.26049115,-25.4307154
n325,n327,420,0,44,-49.27357055,-25.44017765
n125,n331,420,0,44,-49.2645042,-25.436886649999998
n518,n338,420,0,44,-49.2724726,-25.439974149999998
n339,n330,420,0,44,-49.26917435,-25.438707100000002
n311,n382,420,0,31,-49.2694756,-25.436103799999998
n447,n354,420,0,31,-49.2672853,-25.44055255
n319,n518,420,0,44,-49.2734905,-25.4403556
n329,n325,420,0,44,-49.272536849999995,-25.4397893
n283,n45,420,0,41,-49.27502765,-25.43729995
n65,n45,420,0,41,-49.2749506,-25.4373149
n674,n76,420,0,44,-49.2653820972,-25.437030133
n314,n196,420,0,41,-49.273013899999995,-25.43750035
n503,n475,420,0,62,-49.27105125,-25.43491805
n679,n126,420,0,44,-49.265710758,-25.4382049174
n126,n679,420,0,44,-49.265710758,-25.4382049174
n333,n324,420,0,44,-49.2692548,-25.4385257
n2,n323,420,0,40,-49.26761985,-25.43718545
n167,n341,420,0,41,-49.264893900000004,-25.43963375
n323,n2,420,0,41,-49.26761985,-25.43718545
n11,n292,420,0,41,-49.259028,-25.43465195
n677,n678,420,0,70,-49.26650087175,-25.43312800925
n1,n323,420,0,40,-49.2673014,-25.43783055
n323,n1,420,0,40,-49.2673014,-25.43783055
n6,n9,420,0,34,-49.2602814,-25.4361076
n9,n6,420,0,34,-49.2602814,-25.4361076
n8,n7,420,0,31,-49.2601306745,-25.437189156549998
n9,n10,420,0,39,-49.26016085,-25.43610805
n10,n9,420,0,39,-49.26016085,-25.43610805
n31,n32,420,0,63,-49.264447849999996,-25.43306955
n32,n31,420,0,63,-49.264447849999996,-25.43306955
n39,n40,420,0,42,-49.25820175,-25.4350528
n40,n39,420,0,52,-49.25820175,-25.4350528
n42,n41,420,0,32,-49.26078885,-25.43456415
n45,n46,420,0,43,-49.2740228,-25.4379036
n46,n45,420,0,43,-49.2740228,-25.4379036
n516,n29,420,0,32,-49.2580186,-25.43267055
n111,n29,420,0,32,-49.2580598,-25.43259235
